"TAG_Duration";"FIL_Track";"TAG_length";"TAG_Exten";"ODR_Track";"TAG_Albumartists";"Position1";"TAG_Year";"TAG_Artists";"TAG_Genres";"REP_Album";"Position2";"TAG_Album";"Category";"TAG_Disc";"TAG_Track";"TAG_Title";"ID_CD";"REP_Track";"Date_Insert";"Statut";"ID_TRACK";"Family"
"392,333";"01. G.M.S. - Arabian Knights On Mescaline.flac";"00:06:32";"Flac Audio";"1-01";"G.M.S. vs. Systembusters";"Download";"2000";"G.M.S.";"Goa Trance/Psy-Trance";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\GMS vs. Systembusters - GMS vs. Systembusters (2000)";"_2000_2004";"G.M.S. vs. Systembusters";"TRANCE";"1";"01";"Arabian Knights On Mescaline";"3977";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\GMS vs. Systembusters - GMS vs. Systembusters (2000)";"2017-03-07 12:50:03";"NEW";"54250";"Download"
"448,733";"02. G.M.S. - Snorkel Blaster Rmx.flac";"00:07:29";"Flac Audio";"1-02";"G.M.S. vs. Systembusters";"Download";"2000";"G.M.S.";"Goa Trance/Psy-Trance";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\GMS vs. Systembusters - GMS vs. Systembusters (2000)";"_2000_2004";"G.M.S. vs. Systembusters";"TRANCE";"1";"02";"Snorkel Blaster Rmx";"3977";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\GMS vs. Systembusters - GMS vs. Systembusters (2000)";"2017-03-07 12:50:04";"NEW";"54251";"Download"
"415,773";"03. G.M.S. - Bugslife.flac";"00:06:56";"Flac Audio";"1-03";"G.M.S. vs. Systembusters";"Download";"2000";"G.M.S.";"Goa Trance/Psy-Trance";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\GMS vs. Systembusters - GMS vs. Systembusters (2000)";"_2000_2004";"G.M.S. vs. Systembusters";"TRANCE";"1";"03";"Bugslife";"3977";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\GMS vs. Systembusters - GMS vs. Systembusters (2000)";"2017-03-07 12:50:04";"NEW";"54252";"Download"
"433,6";"04. Systembusters - Square Wave.flac";"00:07:14";"Flac Audio";"1-04";"G.M.S. vs. Systembusters";"Download";"2000";"Systembusters";"Goa Trance/Psy-Trance";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\GMS vs. Systembusters - GMS vs. Systembusters (2000)";"_2000_2004";"G.M.S. vs. Systembusters";"TRANCE";"1";"04";"Square Wave";"3977";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\GMS vs. Systembusters - GMS vs. Systembusters (2000)";"2017-03-07 12:50:04";"NEW";"54253";"Download"
"479,827";"05. Systembusters - Boiled Gravy.flac";"00:08:00";"Flac Audio";"1-05";"G.M.S. vs. Systembusters";"Download";"2000";"Systembusters";"Goa Trance/Psy-Trance";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\GMS vs. Systembusters - GMS vs. Systembusters (2000)";"_2000_2004";"G.M.S. vs. Systembusters";"TRANCE";"1";"05";"Boiled Gravy";"3977";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\GMS vs. Systembusters - GMS vs. Systembusters (2000)";"2017-03-07 12:50:04";"NEW";"54254";"Download"
"444,067";"06. G.M.S. - Lumberjack Rmx.flac";"00:07:24";"Flac Audio";"1-06";"G.M.S. vs. Systembusters";"Download";"2000";"G.M.S.";"Goa Trance/Psy-Trance";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\GMS vs. Systembusters - GMS vs. Systembusters (2000)";"_2000_2004";"G.M.S. vs. Systembusters";"TRANCE";"1";"06";"Lumberjack Rmx";"3977";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\GMS vs. Systembusters - GMS vs. Systembusters (2000)";"2017-03-07 12:50:04";"NEW";"54255";"Download"
"492,4";"07. G.M.S. - Slingshot.flac";"00:08:12";"Flac Audio";"1-07";"G.M.S. vs. Systembusters";"Download";"2000";"G.M.S.";"Goa Trance/Psy-Trance";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\GMS vs. Systembusters - GMS vs. Systembusters (2000)";"_2000_2004";"G.M.S. vs. Systembusters";"TRANCE";"1";"07";"Slingshot";"3977";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\GMS vs. Systembusters - GMS vs. Systembusters (2000)";"2017-03-07 12:50:04";"NEW";"54256";"Download"
"414,04";"08. Systembusters - Starwars.flac";"00:06:54";"Flac Audio";"1-08";"G.M.S. vs. Systembusters";"Download";"2000";"Systembusters";"Goa Trance/Psy-Trance";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\GMS vs. Systembusters - GMS vs. Systembusters (2000)";"_2000_2004";"G.M.S. vs. Systembusters";"TRANCE";"1";"08";"Starwars";"3977";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\GMS vs. Systembusters - GMS vs. Systembusters (2000)";"2017-03-07 12:50:04";"NEW";"54257";"Download"
"391,293";"09. Systembusters - Digital Self.flac";"00:06:31";"Flac Audio";"1-09";"G.M.S. vs. Systembusters";"Download";"2000";"Systembusters";"Goa Trance/Psy-Trance";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\GMS vs. Systembusters - GMS vs. Systembusters (2000)";"_2000_2004";"G.M.S. vs. Systembusters";"TRANCE";"1";"09";"Digital Self";"3977";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\GMS vs. Systembusters - GMS vs. Systembusters (2000)";"2017-03-07 12:50:04";"NEW";"54258";"Download"
"491,573";"10. G.M.S. - Joke's On You.flac";"00:08:12";"Flac Audio";"1-10";"G.M.S. vs. Systembusters";"Download";"2000";"G.M.S.";"Goa Trance/Psy-Trance";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\GMS vs. Systembusters - GMS vs. Systembusters (2000)";"_2000_2004";"G.M.S. vs. Systembusters";"TRANCE";"1";"10";"Joke's On You";"3977";"\\HOMERSTATION\_LossLess\TRANCE\Download\_2000_2004\GMS vs. Systembusters - GMS vs. Systembusters (2000)";"2017-03-07 12:50:04";"NEW";"54259";"Download"
